-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2001 through 12/31/2025 in LST
Location: Latitude  40.1603   Longitude -89.1587 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 183.83 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
WD50M           MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2002,-0.38,0.27,2.85,12.02,15.2,22.96,25.07,23.35,20.54,10.9,3.54,0.03,11.42
T2M,2003,-5.16,-3.17,5.35,12.43,16.91,20.18,24.36,25.07,17.56,12.68,7.03,0.09,11.19
T2M,2004,-5.21,-1.29,6.65,12.34,19.29,21.19,23.17,21.6,20.27,13.14,6.69,-0.48,11.48
T2M,2005,-3.26,1.24,3.57,12.64,16.28,24.29,26.29,25.9,22.48,13.51,6.49,-3.4,12.21
T2M,2006,2.4,-0.8,5.35,14.02,16.88,21.95,26.39,24.54,18.41,10.85,6.18,0.51,12.3
T2M,2007,-1.69,-6.04,8.98,9.91,19.35,22.61,23.21,26.8,21.98,15.64,5.26,-1.48,12.16
T2M,2008,-2.67,-3.37,3.5,10.38,15.21,22.52,23.48,21.81,18.94,11.59,4.17,-3.35,10.22
T2M,2009,-6.02,0.03,5.84,10.42,16.84,22.47,21.28,21.55,18.18,9.37,7.27,-2.13,10.46
T2M,2010,-5.77,-3.77,5.86,14.64,17.47,24.31,24.99,24.43,18.91,12.9,5.48,-3.79,11.38
T2M,2011,-5.25,-1.78,5.17,11.94,16.87,22.79,26.39,24.81,18.15,13.01,7.34,1.49,11.82
T2M,2012,-0.59,1.37,12.6,13.15,20.05,24.12,30.59,24.78,18.65,10.86,4.33,2.33,13.57
T2M,2013,-2.15,-1.54,1.1,10.41,17.98,21.69,22.5,23.23,21.25,12.59,3.38,-3.18,10.67
T2M,2014,-6.92,-7.36,1.72,11.08,17.77,22.86,21.45,23.66,18.31,12.03,1.28,0.15,9.77
T2M,2015,-3.83,-6.24,3.7,12.52,18.51,22.5,23.42,22.09,20.94,13.34,7.81,4.0,11.66
T2M,2016,-3.41,0.12,8.33,11.75,16.79,23.76,24.49,24.3,21.05,15.38,8.15,-2.19,12.4
T2M,2017,-0.6,5.12,6.02,14.16,16.71,22.74,25.58,22.94,21.54,14.62,5.43,-1.37,12.77
T2M,2018,-3.9,-0.09,2.99,7.19,21.87,24.07,24.08,24.53,21.51,12.61,1.69,0.81,11.52
T2M,2019,-4.52,-1.77,2.84,11.9,17.78,21.57,24.68,23.09,22.78,11.61,2.1,1.56,11.2
T2M,2020,-0.79,-0.87,6.43,9.89,15.91,22.5,24.94,23.3,19.37,11.59,7.91,0.16,11.73
T2M,2021,-2.07,-7.01,7.06,11.31,16.11,23.44,23.45,24.02,20.82,15.14,4.53,3.83,11.84
T2M,2022,-5.63,-2.91,5.46,10.15,18.48,22.85,24.87,24.04,19.59,11.82,5.36,-1.11,11.16
T2M,2023,0.48,2.17,4.53,11.69,18.37,22.75,25.37,24.13,21.03,13.49,5.94,3.35,12.83
T2M,2024,-4.2,3.66,8.14,12.74,19.56,23.58,24.31,23.8,21.15,14.88,7.74,0.35,12.99
T2M,2025,-5.12,-1.57,8.34,12.73,16.87,23.34,26.11,23.59,-999.0,-999.0,-999.0,-999.0,-999.0
T2M_MAX,2001,5.38,17.16,14.75,28.24,30.53,31.35,36.64,37.29,32.35,28.57,22.1,18.96,37.29
T2M_MAX,2002,14.67,16.07,18.68,28.64,30.49,31.32,34.01,32.69,32.97,30.6,18.3,15.19,34.01
T2M_MAX,2003,10.91,11.99,23.92,28.21,29.66,31.64,36.06,39.51,29.36,28.26,26.05,11.3,39.51
T2M_MAX,2004,18.92,16.48,23.67,28.43,30.12,31.03,33.57,32.3,30.67,28.13,22.19,16.63,33.57
T2M_MAX,2005,15.71,16.58,22.33,26.64,28.46,36.48,40.24,37.1,35.43,30.8,23.71,11.17,40.24
T2M_MAX,2006,14.66,17.56,22.37,28.46,31.21,33.32,37.61,37.66,31.09,33.08,23.12,15.18,37.66
T2M_MAX,2007,12.28,10.12,25.58,28.8,29.3,32.78,32.68,39.0,35.89,32.69,21.24,14.83,39.0
T2M_MAX,2008,19.0,13.66,21.01,25.07,28.34,30.59,31.08,30.27,30.76,26.89,21.91,19.13,31.08
T2M_MAX,2009,7.5,18.67,22.18,26.57,28.15,32.21,28.1,31.15,26.36,22.01,21.83,12.3,32.21
T2M_MAX,2010,7.14,6.46,24.04,27.1,29.78,31.41,31.73,33.41,30.07,27.69,22.07,15.53,33.41
T2M_MAX,2011,4.7,18.84,23.61,28.65,30.35,32.37,34.54,37.53,39.57,29.59,23.03,15.67,39.57
T2M_MAX,2012,16.72,15.3,26.75,28.87,32.84,41.93,42.44,38.75,32.38,26.88,22.66,21.35,42.44
T2M_MAX,2013,17.15,10.82,16.37,27.67,29.31,31.33,31.85,36.06,36.32,30.81,22.52,17.64,36.32
T2M_MAX,2014,9.3,17.15,19.53,25.96,29.3,30.07,30.35,34.83,32.28,27.15,18.81,12.37,34.83
T2M_MAX,2015,8.42,10.45,23.8,25.49,28.3,31.3,32.07,30.59,33.69,27.46,23.61,19.66,33.69
T2M_MAX,2016,15.3,19.13,22.49,26.39,28.6,33.18,31.44,33.63,32.24,29.08,26.19,13.71,33.63
T2M_MAX,2017,16.95,21.4,25.53,26.83,29.22,31.79,36.35,35.25,35.07,30.05,22.76,18.22,36.35
T2M_MAX,2018,16.61,18.11,15.43,25.69,32.99,32.6,33.1,33.14,33.35,31.59,13.77,16.96,33.35
T2M_MAX,2019,15.9,15.77,19.05,25.57,29.25,31.59,32.17,31.54,32.64,30.38,16.1,18.01,32.64
T2M_MAX,2020,15.28,18.13,21.38,26.68,29.01,30.48,32.06,35.69,32.35,28.8,24.47,16.12,35.69
T2M_MAX,2021,8.99,14.59,21.78,27.55,28.67,32.76,31.61,32.54,31.92,29.41,20.4,19.67,32.76
T2M_MAX,2022,7.91,15.19,22.43,26.31,30.43,33.22,35.99,33.17,33.44,26.78,25.38,16.23,35.99
T2M_MAX,2023,19.61,18.13,21.96,26.39,30.85,34.85,39.81,38.66,34.76,31.34,24.8,17.37,39.81
T2M_MAX,2024,7.45,23.91,23.55,27.57,29.91,32.87,32.95,37.31,33.96,30.07,22.01,12.74,37.31
T2M_MAX,2025,8.75,19.42,26.1,27.17,30.45,33.1,32.91,36.41,-999.0,-999.0,-999.0,-999.0,-999.0
T2M_MIN,2001,-18.34,-17.0,-6.92,-3.82,5.37,7.86,10.63,12.93,3.18,-2.47,-3.89,-12.28,-18.34
T2M_MIN,2002,-14.15,-13.84,-19.91,-5.29,-0.06,11.32,13.4,12.75,5.28,-1.1,-7.08,-11.23,-19.91
T2M_MIN,2003,-19.81,-17.73,-11.43,-3.7,2.97,4.67,13.25,14.97,2.31,-1.43,-6.4,-11.99,-19.81
T2M_MIN,2004,-23.51,-14.31,-6.91,-2.59,0.87,9.44,12.97,9.43,7.46,-0.74,-11.48,-15.85,-23.51
T2M_MIN,2005,-15.98,-7.73,-7.77,-1.05,-0.67,11.42,14.25,14.41,5.39,1.33,-8.48,-16.11,-16.11
T2M_MIN,2006,-4.86,-16.74,-7.52,-2.0,3.45,9.14,13.64,14.54,4.66,-4.05,-5.93,-25.69,-25.69
T2M_MIN,2007,-14.36,-21.85,-6.12,-6.65,6.97,10.14,11.61,13.27,4.28,0.05,-6.4,-14.41,-21.85
T2M_MIN,2008,-18.11,-15.11,-12.99,-2.43,2.37,11.5,13.11,11.72,8.02,-3.73,-7.42,-19.1,-19.1
T2M_MIN,2009,-23.47,-15.67,-11.34,-3.11,1.86,6.18,11.6,8.58,7.02,-2.26,-3.43,-16.12,-23.47
T2M_MIN,2010,-19.35,-13.55,-4.63,1.69,1.28,13.55,12.87,12.48,6.68,-3.27,-8.46,-15.21,-19.35
T2M_MIN,2011,-20.02,-24.71,-5.66,-1.4,-0.21,11.28,16.63,15.35,5.01,-0.52,-6.3,-7.43,-24.71
T2M_MIN,2012,-12.25,-11.36,-6.09,-1.94,7.05,7.03,18.32,13.02,4.02,-2.9,-6.68,-9.82,-12.25
T2M_MIN,2013,-15.2,-15.98,-9.87,-5.73,1.29,8.74,9.59,10.97,7.82,-3.92,-11.23,-22.68,-22.68
T2M_MIN,2014,-27.02,-24.95,-18.01,-4.86,2.31,11.0,11.51,11.62,5.3,-1.3,-12.35,-13.95,-27.02
T2M_MIN,2015,-21.67,-19.81,-15.06,-4.04,2.77,9.26,13.22,10.56,7.5,-0.08,-9.78,-8.06,-21.67
T2M_MIN,2016,-17.79,-16.16,-6.89,-5.29,2.49,10.97,13.46,14.39,10.0,2.65,-5.31,-17.75,-17.79
T2M_MIN,2017,-17.28,-9.62,-8.69,-1.06,3.82,10.86,13.33,12.78,8.26,-4.44,-6.43,-20.71,-20.71
T2M_MIN,2018,-24.34,-14.85,-6.2,-6.8,9.59,11.26,13.25,14.02,6.28,-3.04,-8.49,-9.41,-24.34
T2M_MIN,2019,-28.02,-13.72,-16.73,-3.02,4.84,9.87,13.52,12.6,11.89,-6.25,-11.89,-9.36,-28.02
T2M_MIN,2020,-15.88,-18.79,-4.09,-3.61,0.82,10.18,16.4,12.95,5.28,-1.46,-5.39,-12.84,-18.79
T2M_MIN,2021,-12.72,-26.64,-5.71,-5.33,0.95,10.23,13.0,14.22,8.01,2.67,-7.32,-7.59,-26.64
T2M_MIN,2022,-19.61,-22.51,-12.02,-4.03,4.59,10.29,14.91,13.52,4.16,-4.13,-7.77,-20.67,-22.51
T2M_MIN,2023,-14.59,-14.4,-9.45,-1.2,2.47,8.4,14.68,9.99,9.38,-4.22,-9.26,-6.64,-14.59
T2M_MIN,2024,-26.87,-12.26,-5.33,-2.4,9.32,9.36,10.91,9.99,8.03,0.12,-6.13,-11.4,-26.87
T2M_MIN,2025,-21.79,-18.92,-5.68,-4.3,5.42,10.87,17.18,11.02,-999.0,-999.0,-999.0,-999.0,-999.0
T2M_RANGE,2001,8.64,10.17,10.9,12.91,11.28,10.82,12.21,12.85,13.56,11.71,11.29,8.91,11.27
T2M_RANGE,2002,8.96,10.4,11.6,12.85,12.51,9.97,9.76,10.0,13.54,12.27,9.87,8.35,10.84
T2M_RANGE,2003,8.49,9.81,13.04,13.69,12.33,11.74,11.52,12.69,12.35,13.2,11.19,8.32,11.54
T2M_RANGE,2004,9.31,10.62,11.63,13.0,10.92,10.45,9.9,12.22,13.63,11.65,9.73,8.64,10.97
T2M_RANGE,2005,8.97,9.03,10.65,12.38,12.77,11.7,13.56,12.56,13.48,12.15,11.22,8.18,11.4
T2M_RANGE,2006,9.07,10.87,11.71,13.61,10.62,11.75,12.14,10.99,12.33,12.36,10.89,10.25,11.38
T2M_RANGE,2007,8.46,9.89,11.23,12.51,10.89,10.64,11.59,12.22,14.4,12.58,11.58,7.52,11.12
T2M_RANGE,2008,10.18,9.11,11.43,11.78,11.54,9.62,9.73,10.41,10.81,11.83,8.94,9.76,10.44
T2M_RANGE,2009,9.28,10.43,12.45,11.13,11.57,9.57,9.38,9.52,11.02,9.6,9.57,7.38,10.07
T2M_RANGE,2010,6.76,8.06,10.64,12.22,10.97,8.83,8.96,9.8,11.1,12.96,11.83,7.44,9.97
T2M_RANGE,2011,7.48,11.0,11.38,12.29,10.93,9.66,9.09,12.52,12.94,13.28,10.66,8.81,10.83
T2M_RANGE,2012,8.87,10.31,12.09,13.06,12.67,14.65,14.43,14.58,12.26,11.81,11.65,8.94,12.11
T2M_RANGE,2013,9.76,8.84,9.62,12.44,10.41,9.32,9.66,11.15,14.14,12.84,10.7,9.39,10.69
T2M_RANGE,2014,10.36,10.93,12.16,13.22,11.28,9.17,10.63,9.92,11.99,10.55,9.75,7.01,10.57
T2M_RANGE,2015,8.96,10.42,11.85,13.18,11.06,9.24,9.04,10.22,11.55,12.64,11.37,8.84,10.69
T2M_RANGE,2016,8.78,9.74,11.16,12.59,10.81,11.04,8.7,8.55,10.21,11.82,10.96,8.36,10.22
T2M_RANGE,2017,7.78,11.86,10.93,12.23,11.76,11.29,12.12,13.26,14.36,11.85,12.22,8.46,11.5
T2M_RANGE,2018,10.23,10.68,10.31,12.89,11.05,10.04,10.64,10.9,11.76,12.16,8.48,9.41,10.71
T2M_RANGE,2019,9.29,9.8,10.99,11.46,10.01,9.6,9.26,9.89,11.48,11.46,10.16,9.23,10.22
T2M_RANGE,2020,8.25,9.06,10.76,11.83,10.35,10.5,9.57,11.59,12.98,12.55,12.43,9.16,10.75
T2M_RANGE,2021,7.9,10.05,12.61,12.21,11.16,9.72,9.88,9.12,12.62,9.97,11.35,10.65,10.6
T2M_RANGE,2022,10.71,12.27,12.03,12.69,10.75,11.36,10.49,11.56,12.68,13.84,10.83,9.09,11.51
T2M_RANGE,2023,8.16,12.31,11.31,14.12,12.68,14.03,12.13,12.43,12.8,12.19,11.93,8.68,11.88
T2M_RANGE,2024,7.5,12.53,13.04,12.11,11.32,11.44,10.75,12.29,13.75,15.49,9.66,8.29,11.51
T2M_RANGE,2025,9.38,10.07,13.31,12.11,12.03,10.11,8.87,12.31,-999.0,-999.0,-999.0,-999.0,-999.0
WD10M,2001,256.2,272.6,327.7,212.2,220.5,216.5,186.7,249.1,19.9,232.5,213.8,247.3,238.4
WD10M,2002,244.8,249.5,251.0,221.4,211.7,218.4,203.1,148.7,155.5,352.1,268.8,236.9,235.3
WD10M,2003,296.8,323.9,243.8,165.6,334.4,217.2,237.6,52.7,242.7,248.8,239.4,234.5,257.7
WD10M,2004,300.5,223.4,244.1,255.6,211.6,243.6,233.5,234.6,125.4,183.8,289.9,254.9,236.7
WD10M,2005,10.6,271.0,291.7,211.1,247.0,197.8,87.4,95.2,196.5,324.6,232.6,261.6,245.3
WD10M,2006,240.8,285.4,233.9,178.8,258.4,76.8,216.3,124.0,243.3,247.1,209.3,221.3,236.1
WD10M,2007,260.4,285.5,211.6,271.9,175.1,207.5,218.1,217.6,196.9,218.2,267.3,236.1,236.6
WD10M,2008,234.6,285.5,346.3,203.1,212.6,230.7,223.6,73.4,61.9,187.1,246.3,243.8,234.5
WD10M,2009,285.5,260.0,163.2,301.8,213.7,263.5,287.8,212.1,61.0,217.0,172.0,228.2,234.8
WD10M,2010,297.4,318.2,48.7,194.1,180.3,233.2,197.3,181.9,237.3,266.8,215.4,286.1,244.4
WD10M,2011,286.2,263.8,51.5,239.1,196.2,196.1,190.6,252.1,325.5,260.7,216.2,239.9,243.5
WD10M,2012,259.1,274.9,192.2,135.3,179.9,189.7,236.3,180.1,303.8,250.9,201.5,248.8,226.4
WD10M,2013,256.0,273.9,308.4,209.9,188.8,226.0,211.6,214.1,179.4,226.6,234.7,262.5,236.5
WD10M,2014,269.2,292.5,283.2,206.4,195.0,196.9,263.8,184.2,206.7,263.9,246.6,241.6,243.1
WD10M,2015,271.1,311.8,322.1,228.3,199.0,213.2,235.6,235.9,169.4,308.9,199.2,212.4,229.7
WD10M,2016,263.3,284.0,215.5,204.3,242.3,262.5,202.3,187.5,224.7,192.7,217.5,259.7,236.8
WD10M,2017,271.6,242.9,220.7,178.3,276.5,228.7,293.6,289.9,83.2,217.9,235.3,276.4,244.7
WD10M,2018,240.8,252.9,41.4,312.7,190.5,215.7,14.0,203.1,118.8,252.7,298.6,242.9,236.0
WD10M,2019,294.1,283.8,278.0,198.4,200.4,228.6,229.5,311.6,196.4,262.7,244.7,232.7,241.6
WD10M,2020,248.2,319.1,221.6,280.9,162.6,191.0,154.4,198.4,222.1,274.6,222.8,257.8,239.2
WD10M,2021,293.0,328.8,139.4,243.7,144.2,198.7,299.2,182.5,219.6,226.6,236.3,215.5,223.0
WD10M,2022,292.9,260.7,247.6,217.4,165.4,220.2,226.4,181.1,307.5,234.0,228.4,236.2,233.0
WD10M,2023,274.0,238.0,251.1,226.6,97.3,51.0,262.3,306.2,153.9,257.4,236.8,219.9,234.7
WD10M,2024,268.8,236.5,222.5,244.4,203.7,207.3,209.1,281.2,59.6,212.9,236.1,271.9,234.2
WD10M,2025,279.3,313.0,225.0,177.3,0.2,204.0,196.8,104.3,-999.0,-999.0,-999.0,-999.0,-999.0
WD50M,2001,254.7,265.9,328.4,211.5,221.2,214.3,189.1,240.1,37.0,232.0,213.6,244.9,235.0
WD50M,2002,245.1,247.9,245.1,220.1,209.0,216.1,200.1,145.1,151.4,356.0,268.6,237.3,232.5
WD50M,2003,296.3,319.0,233.7,167.4,339.6,215.8,235.3,65.3,239.0,247.6,238.3,232.0,251.8
WD50M,2004,293.7,217.7,241.5,255.4,211.8,242.0,233.4,229.8,125.9,182.8,208.5,252.3,232.4
WD50M,2005,10.4,263.2,287.4,198.8,241.7,196.1,109.6,118.1,192.4,315.1,231.6,258.4,237.0
WD50M,2006,238.2,283.6,234.5,181.3,255.0,87.9,214.1,133.0,242.2,245.1,203.2,222.2,232.6
WD50M,2007,259.8,281.7,209.6,269.0,178.9,203.0,210.5,213.0,191.7,215.1,265.7,228.9,232.1
WD50M,2008,231.0,280.0,332.6,200.5,216.8,232.0,224.0,71.0,83.1,182.2,245.5,241.7,231.1
WD50M,2009,280.4,257.9,166.2,270.1,211.0,258.4,286.4,210.4,62.9,216.1,172.4,225.1,227.3
WD50M,2010,295.7,319.8,51.9,193.1,178.1,232.3,196.4,180.1,235.9,269.4,212.8,281.8,239.7
WD50M,2011,284.3,260.9,62.0,236.6,195.0,195.8,192.2,242.8,324.9,252.2,215.8,239.6,238.6
WD50M,2012,257.4,271.3,192.6,152.3,178.3,186.5,224.8,172.5,292.4,250.1,199.4,242.5,222.2
WD50M,2013,251.7,273.4,308.0,207.1,189.2,222.3,200.9,205.8,174.2,225.6,235.1,255.6,231.8
WD50M,2014,266.8,289.2,265.1,203.9,193.9,197.6,260.5,183.4,189.8,263.0,244.5,237.2,239.1
WD50M,2015,267.6,305.9,301.1,215.8,198.0,212.4,233.8,233.6,168.2,304.8,200.2,215.1,226.1
WD50M,2016,256.6,281.3,213.6,198.5,237.7,261.5,202.2,186.1,214.1,190.7,219.9,258.2,233.5
WD50M,2017,269.4,239.8,219.8,175.3,273.1,228.3,285.2,277.3,126.3,216.1,233.0,272.8,240.1
WD50M,2018,237.2,241.3,41.7,319.9,190.9,214.7,24.2,202.2,128.1,249.5,295.7,237.8,227.5
WD50M,2019,289.9,273.2,273.5,202.1,200.5,226.8,225.8,310.6,195.1,258.0,244.1,228.5,236.6
WD50M,2020,244.9,310.6,215.8,275.8,167.3,192.6,151.7,196.7,216.0,268.0,222.7,257.3,233.8
WD50M,2021,289.2,325.6,139.6,243.9,147.2,197.5,294.4,182.1,221.0,222.0,235.3,216.6,220.3
WD50M,2022,288.4,253.9,242.9,216.9,167.9,216.8,225.2,170.3,286.3,231.2,224.2,232.0,228.4
WD50M,2023,268.8,236.3,242.9,220.0,100.4,55.0,258.3,158.3,150.2,247.5,231.1,216.2,225.0
WD50M,2024,267.8,225.1,222.0,244.6,198.7,207.6,204.7,257.4,65.0,211.9,236.3,266.8,229.3
WD50M,2025,277.7,306.6,223.8,179.1,3.4,202.8,197.4,106.6,-999.0,-999.0,-999.0,-999.0,-999.0
WS10M,2001,4.48,5.31,4.71,6.08,4.8,3.82,3.16,3.17,3.97,5.3,4.86,5.02,4.55
WS10M,2002,5.0,5.9,5.71,5.58,4.87,3.71,3.09,3.47,3.39,4.11,4.91,5.2,4.57
WS10M,2003,5.24,5.06,5.11,5.69,4.96,3.81,3.67,3.3,3.85,4.1,5.26,5.28,4.61
WS10M,2004,5.33,5.21,6.01,5.69,4.84,3.8,3.34,3.81,3.66,4.74,4.68,5.5,4.72
WS10M,2005,4.79,4.57,5.31,5.25,4.56,3.95,3.43,3.18,3.76,4.08,5.96,4.64,4.45
WS10M,2006,5.67,4.99,5.62,5.54,4.61,3.74,3.58,3.56,3.84,5.03,4.92,5.15,4.69
WS10M,2007,5.62,5.47,5.63,5.56,4.44,3.66,3.34,3.63,3.91,4.99,4.96,4.72,4.66
WS10M,2008,6.4,5.37,5.24,5.75,5.29,4.56,3.32,3.16,3.27,4.51,5.03,6.46,4.86
WS10M,2009,5.18,5.88,5.62,5.66,4.02,3.66,3.23,3.67,3.37,4.81,4.85,5.52,4.61
WS10M,2010,4.77,4.46,4.63,5.35,4.53,3.64,3.33,3.14,4.17,4.53,5.17,4.98,4.39
WS10M,2011,4.46,5.33,5.12,6.01,4.78,4.29,2.89,3.29,4.21,4.46,6.14,4.72,4.63
WS10M,2012,5.77,5.35,5.82,5.45,4.41,4.31,3.41,3.22,3.86,5.32,4.07,5.12,4.67
WS10M,2013,5.66,5.64,5.04,5.55,4.84,3.98,3.35,2.88,3.77,4.52,5.38,4.93,4.62
WS10M,2014,6.71,4.91,5.38,5.5,4.64,4.2,3.64,3.33,3.54,4.72,5.61,4.22,4.7
WS10M,2015,4.91,5.17,4.64,5.26,4.82,4.04,3.14,3.27,3.81,4.79,5.72,5.68,4.6
WS10M,2016,5.36,5.6,5.29,5.24,4.24,3.65,3.05,3.05,3.83,4.59,4.7,5.09,4.47
WS10M,2017,5.34,5.43,5.72,5.55,4.98,4.16,3.35,3.15,3.58,5.06,5.02,5.25,4.71
WS10M,2018,5.78,5.47,5.28,5.27,3.96,3.41,3.45,3.65,3.71,4.72,4.69,4.79,4.51
WS10M,2019,5.44,5.59,5.5,5.49,4.62,4.05,3.25,3.36,3.88,4.89,4.72,5.07,4.65
WS10M,2020,4.84,5.04,5.23,5.37,4.45,3.89,3.03,3.17,3.85,4.7,5.57,4.54,4.47
WS10M,2021,4.74,5.17,5.75,5.08,4.57,3.91,2.95,3.02,4.13,4.56,4.85,5.27,4.49
WS10M,2022,5.52,5.76,5.78,6.12,5.13,3.78,3.35,3.28,3.75,4.84,5.36,5.53,4.84
WS10M,2023,4.96,5.57,5.79,5.52,3.93,3.81,3.01,3.26,3.35,4.73,4.44,4.65,4.41
WS10M,2024,4.91,5.14,5.9,5.96,4.23,4.44,3.19,3.39,3.48,4.5,5.16,5.03,4.61
WS10M,2025,5.21,5.38,6.32,5.53,4.39,3.79,2.92,3.28,-999.0,-999.0,-999.0,-999.0,-999.0
